name, success, samples, startup, setup, experiment, maxResidency
hover, True, 200, 13.612620659000001, 0.0, 32.372707602000006, 283MB
edit, True, 200, 14.306801246000001, 0.0, 70.04060421, 2082MB
getDefinition, True, 200, 14.643003932000001, 0.0, 32.203613104, 285MB
hover after edit, True, 200, 13.741406964000001, 0.0, 160.37954603, 3200MB
code actions, True, 200, 13.706071453000002, 0.348242571, 1.83608659, 254MB
documentSymbols after edit, True, 200, 13.78863128, 0.0, 7.287080756000001, 569MB
