name, success, samples, startup, setup, experiment, maxResidency
hover, True, 100, 10.478386544000001, 0.0, 0.14032803300000002, 136MB
edit, True, 100, 9.612954298, 0.0, 31.76088757, 140MB
getDefinition, False, 100, 9.556752574, 0.0, 6.7428952e-2, 135MB
hover after edit, True, 100, 9.705769803, 0.0, 39.492055019000006, 141MB
completions after edit, True, 100, 9.522620569, 0.0, 41.953099058, 144MB
code actions, True, 100, 9.893884304, 0.546147088, 0.879603888, 171MB
code actions after edit, False, 100, 9.93654418, 0.0, 7.667484405000001, 171MB
documentSymbols after edit, True, 100, 12.153861614, 0.0, 3.876532918, 137MB
