name, success, samples, startup, setup, experiment, maxResidency
hover, True, 200, 18.396065115000003, 0.0, 30.032216528000003, 854MB
edit, True, 200, 18.229083955, 0.0, 57.486308486000006, 1883MB
getDefinition, True, 200, 18.471085428000002, 0.0, 29.948704715, 870MB
hover after edit, True, 200, 18.345391226, 0.0, 79.321232819, 2299MB
code actions, True, 200, 18.424305558, 0.259685487, 1.062176543, 868MB
documentSymbols after edit, True, 200, 18.644910046, 0.0, 8.458495722, 1176MB
