name, success, samples, startup, setup, experiment, maxResidency
hover, True, 200, 18.919892032, 0.0, 140.94773268400002, 957MB
edit, True, 200, 18.879240996, 0.0, 171.65758601500002, 1982MB
getDefinition, True, 200, 19.796679317000002, 0.0, 141.23559415100002, 974MB
hover after edit, True, 200, 19.486459194000002, 0.0, 191.50394087400002, 2383MB
code actions, True, 200, 18.805281558, 0.817824156, 1.069742886, 540MB
documentSymbols after edit, True, 200, 18.701899972, 0.0, 8.292904032000001, 995MB
