name, success, samples, startup, setup, experiment, maxResidency
hover, True, 100, 11.371499782, 0.0, 0.569961916, 172MB
edit, True, 100, 12.018539653000001, 0.0, 47.011598097000004, 181MB
getDefinition, True, 100, 9.946836806, 0.0, 0.957393601, 172MB
hover after edit, True, 100, 10.11517897, 0.0, 1.5125140590000001, 171MB
completions after edit, True, 100, 10.121257906, 0.0, 8.112460716000001, 171MB
code actions, True, 100, 10.373322118, 1.151683226, 0.9317128790000001, 209MB
code actions after edit, True, 100, 9.899097365000001, 0.0, 30.920481852, 209MB
documentSymbols after edit, True, 100, 10.184797083000001, 0.0, 3.065205062, 172MB
