name, success, samples, startup, setup, experiment, maxResidency
hover, True, 200, 14.089981489000001, 0.0, 49.776975087000004, 223MB
edit, True, 200, 14.186564557, 0.0, 78.22106589100001, 217MB
getDefinition, True, 200, 14.195098801, 0.0, 49.353323377, 220MB
hover after edit, True, 200, 14.077295817000001, 0.0, 176.97547189000002, 234MB
code actions, True, 200, 14.520878324000002, 0.46155263, 2.304666423, 246MB
documentSymbols after edit, True, 200, 14.165244468000001, 0.0, 6.0255438450000005, 226MB
